Column1,road_code,road_name,serial_number,si_do
80886,3.01103E+11,이화로,2,대전광역시
80887,3.01103E+11,천개동로,0,대전광역시
80888,3.01103E+11,천개동로,1,대전광역시
80889,3.01103E+11,천개동로,2,대전광역시
80890,3.01103E+11,충정로,0,대전광역시
80891,3.01103E+11,충정로,1,대전광역시
80892,3.01103E+11,충정로,2,대전광역시
80893,3.01103E+11,태전로,0,대전광역시
80894,3.01103E+11,태전로,1,대전광역시
80895,3.01103E+11,태전로,2,대전광역시
80896,3.01103E+11,태전로,3,대전광역시
80897,3.01103E+11,판암로,0,대전광역시
80898,3.01103E+11,판암로,1,대전광역시
80899,3.01103E+11,합내로,0,대전광역시
80900,3.01103E+11,합내로,1,대전광역시
80901,3.01103E+11,현암로,0,대전광역시
80902,3.01103E+11,현암로,1,대전광역시
80903,3.01103E+11,흥룡로,0,대전광역시
80904,3.01103E+11,흥룡로,1,대전광역시
80905,3.01103E+11,보문로,0,대전광역시
80906,3.01103E+11,보문로,1,대전광역시
80907,3.01103E+11,중앙로,0,대전광역시
80908,3.01103E+11,중앙로,1,대전광역시
80909,3.01103E+11,중앙로,2,대전광역시
80910,3.01103E+11,중앙로,3,대전광역시
80911,3.01103E+11,중앙로,4,대전광역시
80912,3.01103E+11,석천로,0,대전광역시
80913,3.01103E+11,석천로,1,대전광역시
80914,3.01103E+11,석천로,2,대전광역시
80915,3.01103E+11,물류로,0,대전광역시
80916,3.01103E+11,물류로,1,대전광역시
80917,3.01103E+11,안골로,0,대전광역시
80918,3.01103E+11,안골로,1,대전광역시
80919,3.01103E+11,하소로,0,대전광역시
80920,3.01103E+11,하소로,1,대전광역시
80921,3.01103E+11,하소중로,0,대전광역시
80922,3.01103E+11,하소중로,1,대전광역시
80923,3.01103E+11,하소남로,0,대전광역시
80924,3.01103E+11,하소남로,1,대전광역시
80925,3.01103E+11,신인로,0,대전광역시
80926,3.01103E+11,삼가로,0,대전광역시
80927,3.01103E+11,동광장로,0,대전광역시
80928,3.01103E+11,동광장로,1,대전광역시
80929,3.01103E+11,동광장로,2,대전광역시
80930,3.01104E+11,가양남로13번길,0,대전광역시
80931,3.01104E+11,가양남로13번길,1,대전광역시
80932,3.01104E+11,가양남로23번길,0,대전광역시
80933,3.01104E+11,가양남로23번길,1,대전광역시
80934,3.01104E+11,가양남로27번길,0,대전광역시
80935,3.01104E+11,가양남로27번길,1,대전광역시
80936,3.01104E+11,가양남로33번길,0,대전광역시
80937,3.01104E+11,가양남로33번길,1,대전광역시
80938,3.01104E+11,가양로110번길,0,대전광역시
80939,3.01104E+11,가양로110번길,1,대전광역시
80940,3.01104E+11,가양로123번길,0,대전광역시
80941,3.01104E+11,가양로123번길,1,대전광역시
80942,3.01104E+11,가양로123번길,2,대전광역시
80943,3.01104E+11,가양로132번길,0,대전광역시
80944,3.01104E+11,가양로132번길,1,대전광역시
80945,3.01104E+11,가양로56번길,0,대전광역시
80946,3.01104E+11,가양로56번길,1,대전광역시
80947,3.01104E+11,가양로62번길,0,대전광역시
80948,3.01104E+11,가양로62번길,1,대전광역시
80949,3.01104E+11,가양로68번길,0,대전광역시
80950,3.01104E+11,가양로68번길,1,대전광역시
80951,3.01104E+11,가양로80번길,0,대전광역시
80952,3.01104E+11,가양로80번길,1,대전광역시
80953,3.01104E+11,갱이1길,0,대전광역시
80954,3.01104E+11,갱이1길,1,대전광역시
80955,3.01104E+11,갱이2길,0,대전광역시
80956,3.01104E+11,갱이2길,1,대전광역시
80957,3.01104E+11,갱이3길,0,대전광역시
80958,3.01104E+11,갱이3길,1,대전광역시
80959,3.01104E+11,갱이4길,0,대전광역시
80960,3.01104E+11,갱이4길,1,대전광역시
80961,3.01104E+11,갱이5길,0,대전광역시
80962,3.01104E+11,갱이5길,1,대전광역시
80963,3.01104E+11,갱이6길,0,대전광역시
80964,3.01104E+11,갱이6길,1,대전광역시
